Auto-detected serial ports are:
/dev/serial/by-id/usb-Silicon_Labs_CP2102_USB_to_UART_Bridge_Controller_0001-if00-port0
Connecting to /dev/serial/by-id/usb-Silicon_Labs_CP2102_USB_to_UART_Bridge_Controller_0001-if00-port0
Connect /dev/serial/by-id/usb-Silicon_Labs_CP2102_USB_to_UART_Bridge_Controller_0001-if00-port0 source_system=255
Log Directory: 
Telemetry log: mav.tlog
Waiting for heartbeat from /dev/serial/by-id/usb-Silicon_Labs_CP2102_USB_to_UART_Bridge_Controller_0001-if00-port0
MAV> APM: [MLAgent] S: 5253851 A: 1451829
APM: [MLAgent] EKF position unavailable
APM: [MLAgent] S: 5275650 A: 1451829
APM: [MLAgent] S: 5275750 A: 1451829
APM: [MLAgent] S: 5275850 A: 1451829
APM: [MLAgent] S: 5275950 A: 1451829
APM: [MLAgent] S: 5276051 A: 1451829
APM: [MLAgent] S: 5276150 A: 1451829
APM: [MLAgent] S: 5276250 A: 1451829
APM: [MLAgent] S: 5276350 A: 1451829
APM: [MLAgent] S: 5276450 A: 1451829
APM: [MLAgent] S: 5276550 A: 1451829
APM: [MLAgent] S: 5276650 A: 1451829
APM: [MLAgent] S: 5276750 A: 1451829
APM: [MLAgent] S: 5276850 A: 1451829
APM: [MLAgent] S: 5276950 A: 1451829
APM: [MLAgent] S: 5277050 A: 1451829
APM: [MLAgent] S: 5277251 A: 1451829
APM: [MLAgent] S: 5277350 A: 1451829
APM: [MLAgent] S: 5277450 A: 1451829
APM: [MLAgent] S: 5277550 A: 1451829
APM: [MLAgent] S: 5277650 A: 1451829
APM: [MLAgent] S: 5277750 A: 1451829
APM: [MLAgent] S: 5277851 A: 1451829
APM: [MLAgent] S: 5277950 A: 1451829
APM: [MLAgent] S: 5278050 A: 1451829
APM: [MLAgent] S: 5278150 A: 1451829
APM: [MLAgent] S: 5278250 A: 1451829
APM: [MLAgent] S: 5278350 A: 1451829
APM: [MLAgent] S: 5278451 A: 1451829
APM: [MLAgent] S: 5278550 A: 1451829
APM: [MLAgent] S: 5278650 A: 1451829
APM: [MLAgent] S: 5278751 A: 1451829
APM: [MLAgent] S: 5278850 A: 1451829
APM: [MLAgent] EKF position unavailable
APM: [MLAgent] S: 5278950 A: 1451829
APM: [MLAgent] S: 5279051 A: 1451829
Flight battery 60 percent
APM: [MLAgent] S: 5279150 A: 1451829
APM: [MLAgent] S: 5279250 A: 1451829
APM: [MLAgent] S: 5279351 A: 1451829
APM: [MLAgent] S: 5279450 A: 1451829
APM: [MLAgent] S: 5279550 A: 1451829
APM: [MLAgent] S: 5279650 A: 1451829
APM: [MLAgent] S: 5279750 A: 1451829
APM: [MLAgent] S: 5279850 A: 1451829
APM: [MLAgent] S: 5279950 A: 1451829
APM: [MLAgent] S: 5280050 A: 1451829
APM: [MLAgent] S: 5280150 A: 1451829
APM: [MLAgent] S: 5280250 A: 1451829
APM: [MLAgent] S: 5280350 A: 1451829
APM: [MLAgent] S: 5280450 A: 1451829
APM: [MLAgent] S: 5280550 A: 1451829
APM: [MLAgent] S: 5280650 A: 1451829
APM: [MLAgent] S: 5280752 A: 1451829
APM: [MLAgent] S: 5280851 A: 1451829
APM: [MLAgent] S: 5280950 A: 1451829
APM: [MLAgent] S: 5281050 A: 1451829
APM: [MLAgent] S: 5281150 A: 1451829
APM: [MLAgent] S: 5281250 A: 1451829
APM: [MLAgent] S: 5281350 A: 1451829
APM: [MLAgent] S: 5281451 A: 1451829
APM: [MLAgent] S: 5281550 A: 1451829
