Auto-detected serial ports are:
/dev/serial/by-id/usb-Silicon_Labs_CP2102_USB_to_UART_Bridge_Controller_0001-if00-port0
Connecting to /dev/serial/by-id/usb-Silicon_Labs_CP2102_USB_to_UART_Bridge_Controller_0001-if00-port0
Connect /dev/serial/by-id/usb-Silicon_Labs_CP2102_USB_to_UART_Bridge_Controller_0001-if00-port0 source_system=255
Log Directory: 
Telemetry log: mav.tlog
Waiting for heartbeat from /dev/serial/by-id/usb-Silicon_Labs_CP2102_USB_to_UART_Bridge_Controller_0001-if00-port0
MAV> online system 1
MANUAL> Mode MANUAL
APM: [MLAgent] EKF position unavailable
APM: ArduPlane V4.0.4 (9a0ca836)
APM: ChibiOS: cb42c858
APM: fmuv2 00230023 30345109 37383933
APM: [MLAgent] EKF position unavailable
APM: [MLAgent] EKF position unavailable
APM: [MLAgent] EKF position unavailable
Flight battery 100 percent
APM: [MLAgent] EKF position unavailable
Received 1046 parameters
Saved 1046 parameters to mav.parm
APM: [MLAgent] EKF position unavailable
t,	0-9APM: [MLAgent] EKF position unavailable
tH	2.6APM: [MLAgent] EKF position unavailable
tX	,-5@APM: [MLAgent] EKF position unavailable
APM: [MLAgent] EKF position unavailable
APM: [MLAgent] EKF position unavailable
APM: [MLAgent] EKF position unavailable
APM: [MLAgent] S: 647070 A: 0
APM: [MLAgent] S: 647170 A: 0
APM: [MLAgent] S: 647270 A: 0
APM: [MLAgent] S: 647370 A: 0
APM: [MLAgent] S: 647470 A: 0
APM: [MLAgent] S: 647570 A: 0
APM: [MLAgent] S: 647670 A: 0
APM: [MLAgent] S: 647770 A: 0
APM: [MLAgent] S: 647870 A: 0
APM: [MLAgent] S: 647970 A: 0
APM: [MLAgent] S: 648070 A: 0
APM: [MLAgent] S: 648170 A: 0
APM: [MLAgent] S: 648270 A: 0
APM: [MLAgent] S: 648370 A: 0
APM: [MLAgent] S: 648470 A: 0
APM: [MLAgent] S: 648570 A: 0
APM: [MLAgent] S: 648670 A: 0
APM: [MLAgent] S: 648770 A: 0
APM: [MLAgent] S: 648870 A: 0
APM: [MLAgent] S: 648970 A: 0
APM: [MLAgent] S: 649070 A: 0
APM: [MLAgent] S: 649170 A: 0
APM: [MLAgent] EKF position unavailable
APM: [MLAgent] S: 649270 A: 0
APM: [MLAgent] S: 649371 A: 0
APM: [MLAgent] S: 649470 A: 0
APM: [MLAgent] S: 649570 A: 0
APM: [MLAgent] S: 649670 A: 0
APM: [MLAgent] S: 649770 A: 0
APM: [MLAgent] S: 649870 A: 0
APM: [MLAgent] S: 649970 A: 0
APM: [MLAgent] S: 650070 A: 0
APM: [MLAgent] S: 650170 A: 0
APM: [MLAgent] S: 650270 A: 0
APM: [MLAgent] S: 650370 A: 0
APM: [MLAgent] S: 650470 A: 0
APM: [MLAgent] S: 650570 A: 0
APM: [MLAgent] S: 650670 A: 0
APM: [MLAgent] S: 650770 A: 0
APM: [MLAgent] S: 650870 A: 0
APM: [MLAgent] S: 650970 A: 0
APM: [MLAgent] S: 651070 A: 0
APM: [MLAgent] S: 651170 A: 0
APM: [MLAgent] S: 651270 A: 0
APM: [MLAgent] S: 651370 A: 0
APM: [MLAgent] S: 651470 A: 0
APM: [MLAgent] S: 651570 A: 0
APM: [MLAgent] S: 651670 A: 0
APM: [MLAgent] S: 651771 A: 0
APM: [MLAgent] S: 651870 A: 0
APM: [MLAgent] S: 651970 A: 0
AUTO> APM: [MLAgent] S: 652070 A: 0
APM: [MLAgent] S: 652170 A: 0
APM: [MLAgent] S: 652270 A: 0
APM: [MLAgent] S: 652370 A: 0
APM: [MLAgent] S: 652470 A: 0
APM: Mission: 11 MLControl
APM: [MLAgent] Entering ML mode
waypoint 11
APM: [MLAgent] S: 652570 A: 0
APM: [MLAgent] S: 652670 A: 652689
APM: [MLAgent] S: 652770 A: 652809
APM: [MLAgent] S: 652870 A: 652909
APM: [MLAgent] S: 652970 A: 653009
APM: [MLAgent] S: 653070 A: 653109
APM: [MLAgent] S: 653170 A: 653209
APM: [MLAgent] S: 653270 A: 653310
APM: [MLAgent] S: 653371 A: 653410
APM: [MLAgent] S: 653470 A: 653509
APM: [MLAgent] S: 653570 A: 653589
APM: [MLAgent] S: 653670 A: 653709
APM: [MLAgent] S: 653770 A: 653809
APM: [MLAgent] S: 653870 A: 653909
APM: [MLAgent] S: 653970 A: 654009
APM: [MLAgent] S: 654070 A: 654109
APM: [MLAgent] S: 654170 A: 654189
APM: [MLAgent] EKF position unavailable
APM: [MLAgent] S: 654270 A: 654309
APM: [MLAgent] S: 654371 A: 654409
APM: [MLAgent] S: 654470 A: 654510
APM: [MLAgent] S: 654570 A: 654609
APM: [MLAgent] S: 654670 A: 654709
APM: [MLAgent] S: 654770 A: 654809
APM: [MLAgent] S: 654870 A: 654910
APM: [MLAgent] S: 654970 A: 655009
APM: [MLAgent] S: 655070 A: 655109
APM: [MLAgent] S: 655170 A: 655209
APM: [MLAgent] S: 655270 A: 655309
APM: [MLAgent] S: 655370 A: 655409
APM: [MLAgent] S: 655470 A: 655509
APM: [MLAgent] S: 655570 A: 655610
APM: [MLAgent] S: 655670 A: 655689
APM: [MLAgent] S: 655770 A: 655809
APM: [MLAgent] S: 655870 A: 655909
APM: [MLAgent] S: 655970 A: 656010
APM: [MLAgent] S: 656070 A: 656109
APM: [MLAgent] S: 656170 A: 656209
APM: [MLAgent] S: 656270 A: 656309
APM: [MLAgent] S: 656370 A: 656409
APM: [MLAgent] S: 656470 A: 656510
APM: [MLAgent] S: 656570 A: 656609
APM: [MLAgent] S: 656670 A: 656710
APM: [MLAgent] S: 656771 A: 656809
APM: [MLAgent] S: 656870 A: 656909
APM: [MLAgent] S: 656970 A: 657009
APM: [MLAgent] S: 657070 A: 657089
APM: [MLAgent] S: 657170 A: 657189
APM: [MLAgent] S: 657271 A: 657309
APM: [MLAgent] S: 657371 A: 657410
APM: [MLAgent] S: 657470 A: 657509
APM: [MLAgent] S: 657570 A: 657609
APM: [MLAgent] S: 657670 A: 657709
APM: [MLAgent] S: 657770 A: 657810
APM: [MLAgent] S: 657870 A: 657909
APM: [MLAgent] S: 657970 A: 657989
APM: [MLAgent] S: 658070 A: 658109
APM: [MLAgent] S: 658170 A: 658209
APM: [MLAgent] S: 658270 A: 658309
APM: [MLAgent] S: 658370 A: 658409
APM: [MLAgent] S: 658471 A: 658509
APM: [MLAgent] S: 658570 A: 658609
APM: [MLAgent] S: 658670 A: 658709
APM: [MLAgent] S: 658770 A: 658809
APM: [MLAgent] S: 658870 A: 658910
APM: [MLAgent] S: 658970 A: 658989
APM: [MLAgent] S: 659070 A: 659090
APM: [MLAgent] S: 659170 A: 659209
APM: [MLAgent] EKF position unavailable
APM: [MLAgent] S: 659270 A: 659289
APM: [MLAgent] S: 659370 A: 659409
APM: [MLAgent] S: 659470 A: 659490
APM: [MLAgent] S: 659570 A: 659589
APM: [MLAgent] S: 659670 A: 659709
APM: [MLAgent] S: 659770 A: 659809
APM: [MLAgent] S: 659870 A: 659909
APM: [MLAgent] S: 659970 A: 660010
APM: [MLAgent] S: 660070 A: 660089
APM: [MLAgent] S: 660170 A: 660189
APM: [MLAgent] S: 660270 A: 660309
APM: [MLAgent] S: 660370 A: 660389
APM: [MLAgent] S: 660470 A: 660489
APM: [MLAgent] S: 660570 A: 660609
APM: [MLAgent] S: 660670 A: 660709
APM: [MLAgent] S: 660771 A: 660809
APM: [MLAgent] S: 660870 A: 660890
APM: [MLAgent] S: 660970 A: 661009
APM: [MLAgent] S: 661070 A: 661110
APM: [MLAgent] S: 661170 A: 661209
APM: [MLAgent] S: 661270 A: 661289
APM: [MLAgent] S: 661370 A: 661389
APM: [MLAgent] S: 661470 A: 661509
APM: [MLAgent] S: 661570 A: 661609
APM: [MLAgent] S: 661670 A: 661709
APM: [MLAgent] S: 661770 A: 661809
APM: [MLAgent] S: 661870 A: 661909
APM: [MLAgent] S: 661970 A: 661990
APM: [MLAgent] S: 662070 A: 662110
APM: [MLAgent] S: 662170 A: 662210
APM: [MLAgent] S: 662270 A: 662289
APM: [MLAgent] S: 662370 A: 662409
APM: [MLAgent] S: 662470 A: 662489
APM: [MLAgent] S: 662570 A: 662589
APM: [MLAgent] S: 662670 A: 662709
APM: [MLAgent] S: 662770 A: 662809
APM: [MLAgent] S: 662870 A: 662909
APM: [MLAgent] S: 662970 A: 663009
APM: [MLAgent] S: 663070 A: 663109
APM: [MLAgent] S: 663170 A: 663189
APM: [MLAgent] S: 663270 A: 663309
APM: [MLAgent] S: 663370 A: 663409
APM: [MLAgent] S: 663470 A: 663489
APM: [MLAgent] S: 663570 A: 663609
APM: [MLAgent] S: 663670 A: 663689
APM: [MLAgent] S: 663770 A: 663809
APM: [MLAgent] S: 663870 A: 663910
APM: [MLAgent] S: 663971 A: 664009
APM: [MLAgent] S: 664070 A: 664089
APM: [MLAgent] S: 664170 A: 664210
APM: [MLAgent] EKF position unavailable
APM: [MLAgent] S: 664270 A: 664289
APM: [MLAgent] S: 664370 A: 664410
APM: [MLAgent] S: 664470 A: 664490
APM: [MLAgent] S: 664570 A: 664609
APM: [MLAgent] S: 664670 A: 664689
APM: [MLAgent] S: 664770 A: 664810
APM: [MLAgent] S: 664870 A: 664909
APM: [MLAgent] S: 664971 A: 665009
APM: [MLAgent] S: 665070 A: 665110
APM: [MLAgent] S: 665170 A: 665189
APM: [MLAgent] S: 665270 A: 665309
APM: [MLAgent] S: 665370 A: 665410
APM: [MLAgent] S: 665470 A: 665510
APM: [MLAgent] S: 665570 A: 665589
APM: [MLAgent] S: 665670 A: 665709
APM: [MLAgent] S: 665770 A: 665809
APM: [MLAgent] S: 665871 A: 665909
APM: [MLAgent] S: 665971 A: 666010
APM: [MLAgent] S: 666070 A: 666109
APM: [MLAgent] S: 666170 A: 666189
APM: [MLAgent] S: 666270 A: 666309
APM: [MLAgent] S: 666370 A: 666390
APM: [MLAgent] S: 666470 A: 666489
APM: [MLAgent] S: 666570 A: 666610
APM: [MLAgent] S: 666670 A: 666689
APM: [MLAgent] S: 666770 A: 666789
APM: [MLAgent] S: 666870 A: 666909
APM: [MLAgent] S: 666971 A: 667009
APM: [MLAgent] S: 667070 A: 667109
APM: [MLAgent] S: 667170 A: 667209
APM: [MLAgent] S: 667271 A: 667309
APM: [MLAgent] S: 667370 A: 667389
APM: [MLAgent] S: 667470 A: 667509
APM: [MLAgent] S: 667570 A: 667609
APM: [MLAgent] S: 667670 A: 667689
APM: [MLAgent] S: 667770 A: 667810
APM: [MLAgent] S: 667870 A: 667909
APM: [MLAgent] S: 667970 A: 668010
APM: [MLAgent] S: 668070 A: 668109
APM: [MLAgent] S: 668170 A: 668189
APM: [MLAgent] S: 668270 A: 668289
APM: [MLAgent] S: 668370 A: 668409
APM: [MLAgent] S: 668470 A: 668509
APM: [MLAgent] S: 668570 A: 668609
APM: [MLAgent] S: 668670 A: 668709
APM: [MLAgent] S: 668770 A: 668810
APM: [MLAgent] S: 668870 A: 668909
APM: [MLAgent] S: 668970 A: 669009
APM: [MLAgent] S: 669070 A: 669089
APM: [MLAgent] S: 669170 A: 669189
APM: [MLAgent] EKF position unavailable
APM: [MLAgent] S: 669270 A: 669309
APM: [MLAgent] S: 669371 A: 669410
APM: [MLAgent] S: 669470 A: 669509
APM: [MLAgent] S: 669570 A: 669609
APM: [MLAgent] S: 669670 A: 669690
APM: [MLAgent] S: 669770 A: 669809
APM: [MLAgent] S: 669870 A: 669910
APM: [MLAgent] S: 669970 A: 669989
APM: [MLAgent] S: 670070 A: 670089
APM: [MLAgent] S: 670170 A: 670209
APM: [MLAgent] S: 670270 A: 670309
APM: [MLAgent] S: 670371 A: 670409
APM: [MLAgent] S: 670470 A: 670509
APM: [MLAgent] S: 670570 A: 670609
APM: [MLAgent] S: 670670 A: 670690
APM: [MLAgent] S: 670770 A: 670809
APM: [MLAgent] S: 670870 A: 670909
APM: [MLAgent] S: 670970 A: 670989
APM: [MLAgent] S: 671070 A: 671109
APM: [MLAgent] S: 671170 A: 671189
APM: [MLAgent] S: 671270 A: 671309
APM: [MLAgent] S: 671370 A: 671409
APM: [MLAgent] S: 671470 A: 671509
APM: [MLAgent] S: 671570 A: 671589
APM: [MLAgent] S: 671670 A: 671709
APM: [MLAgent] S: 671770 A: 671809
APM: [MLAgent] S: 671870 A: 671909
APM: [MLAgent] S: 671970 A: 672009
APM: [MLAgent] S: 672070 A: 672089
APM: [MLAgent] S: 672170 A: 672209
APM: [MLAgent] S: 672270 A: 672309
APM: [MLAgent] S: 672370 A: 672389
APM: [MLAgent] S: 672470 A: 672489
APM: [MLAgent] S: 672570 A: 672609
APM: [MLAgent] S: 672670 A: 672689
APM: [MLAgent] S: 672770 A: 672809
APM: [MLAgent] S: 672870 A: 672909
APM: [MLAgent] S: 672970 A: 672990
APM: [MLAgent] S: 673070 A: 673109
APM: [MLAgent] S: 673170 A: 673210
APM: [MLAgent] S: 673270 A: 673309
APM: [MLAgent] S: 673370 A: 673409
APM: [MLAgent] S: 673470 A: 673509
APM: [MLAgent] S: 673570 A: 673590
APM: [MLAgent] S: 673670 A: 673689
APM: [MLAgent] S: 673771 A: 673809
APM: [MLAgent] S: 673871 A: 673909
APM: [MLAgent] S: 673970 A: 673989
APM: [MLAgent] S: 674070 A: 674090
APM: [MLAgent] S: 674170 A: 674189
APM: [MLAgent] EKF position unavailable
APM: [MLAgent] S: 674270 A: 674310
APM: [MLAgent] S: 674371 A: 674409
APM: [MLAgent] S: 674470 A: 674509
APM: [MLAgent] S: 674570 A: 674590
APM: [MLAgent] S: 674670 A: 674709
APM: [MLAgent] S: 674770 A: 674809
APM: [MLAgent] S: 674870 A: 674909
APM: [MLAgent] S: 674970 A: 675009
APM: [MLAgent] S: 675070 A: 675089
APM: [MLAgent] S: 675170 A: 675190
APM: [MLAgent] S: 675270 A: 675310
